metric,value
n_requests,1
n_ok,1
n_err,0
n_llm_calls_total,2
total_prompt_tokens,12480
total_completion_tokens,3239
total_tokens,15719
wall_clock_s,48.657
avg_latency_s,48.655
avg_total_tokens,15719.0
avg_llm_calls,2.0
