metric,value
n_requests,3
n_ok,2
n_err,1
n_llm_calls_total,11
total_prompt_tokens,59487
total_completion_tokens,9440
total_tokens,68927
wall_clock_s,127.066
avg_latency_s,60.905
avg_total_tokens,34463.5
avg_llm_calls,5.5
