metric,value
n_requests,5
n_ok,5
n_err,0
n_llm_calls_total,58
total_prompt_tokens,514361
total_completion_tokens,42711
total_tokens,557072
wall_clock_s,972.909
avg_latency_s,194.578
avg_total_tokens,111414.4
avg_llm_calls,11.6
