metric,value
n_requests,4
n_ok,4
n_err,0
n_llm_calls_total,22
total_prompt_tokens,121737
total_completion_tokens,31414
total_tokens,153151
wall_clock_s,392.029
avg_latency_s,98.006
avg_total_tokens,38287.8
avg_llm_calls,5.5
