metric,value
n_requests,1
n_ok,1
n_err,0
n_llm_calls_total,2
total_prompt_tokens,12457
total_completion_tokens,3058
total_tokens,15515
wall_clock_s,43.997
avg_latency_s,43.995
avg_total_tokens,15515.0
avg_llm_calls,2.0
