metric,value
n_requests,1
n_ok,1
n_err,0
n_llm_calls_total,4
total_prompt_tokens,21064
total_completion_tokens,4196
total_tokens,25260
wall_clock_s,58.35
avg_latency_s,58.347
avg_total_tokens,25260.0
avg_llm_calls,4.0
