metric,value
n_requests,1
n_ok,0
n_err,1
n_llm_calls_total,0
total_prompt_tokens,0
total_completion_tokens,0
total_tokens,0
wall_clock_s,37.994
avg_latency_s,None
avg_total_tokens,None
avg_llm_calls,None
