metric,value
n_requests,9
n_ok,7
n_err,2
n_llm_calls_total,22
total_prompt_tokens,120153
total_completion_tokens,11299
total_tokens,131452
wall_clock_s,706.284
avg_latency_s,25.385
avg_total_tokens,18778.9
avg_llm_calls,3.14
