metric,value
n_requests,11
n_ok,6
n_err,5
n_llm_calls_total,24
total_prompt_tokens,127598
total_completion_tokens,10166
total_tokens,137764
wall_clock_s,732.219
avg_latency_s,27.295
avg_total_tokens,22960.7
avg_llm_calls,4.0
