metric,value
n_requests,13
n_ok,7
n_err,6
n_llm_calls_total,28
total_prompt_tokens,150993
total_completion_tokens,20079
total_tokens,171072
wall_clock_s,1263.186
avg_latency_s,39.413
avg_total_tokens,24438.9
avg_llm_calls,4.0
