metric,value
n_requests,1
n_ok,1
n_err,0
n_llm_calls_total,4
total_prompt_tokens,20955
total_completion_tokens,1920
total_tokens,22875
wall_clock_s,33.424
avg_latency_s,33.422
avg_total_tokens,22875.0
avg_llm_calls,4.0
