metric,value
n_requests,6
n_ok,3
n_err,3
n_llm_calls_total,28
total_prompt_tokens,148970
total_completion_tokens,31037
total_tokens,180007
wall_clock_s,704.276
avg_latency_s,135.86
avg_total_tokens,60002.3
avg_llm_calls,9.33
