metric,value
n_requests,14
n_ok,5
n_err,9
n_llm_calls_total,13
total_prompt_tokens,77389
total_completion_tokens,12250
total_tokens,89639
wall_clock_s,230.729
avg_latency_s,33.262
avg_total_tokens,17927.8
avg_llm_calls,2.6
