metric,value
n_requests,4
n_ok,1
n_err,3
n_llm_calls_total,5
total_prompt_tokens,26841
total_completion_tokens,2512
total_tokens,29353
wall_clock_s,262.054
avg_latency_s,34.421
avg_total_tokens,29353.0
avg_llm_calls,5.0
