metric,value
n_requests,9
n_ok,6
n_err,3
n_llm_calls_total,18
total_prompt_tokens,104190
total_completion_tokens,15498
total_tokens,119688
wall_clock_s,506.948
avg_latency_s,44.676
avg_total_tokens,19948.0
avg_llm_calls,3.0
