metric,value
n_requests,1
n_ok,1
n_err,0
n_llm_calls_total,2
total_prompt_tokens,12533
total_completion_tokens,1414
total_tokens,13947
wall_clock_s,18.281
avg_latency_s,18.278
avg_total_tokens,13947.0
avg_llm_calls,2.0
